ano,regiao_administrativa,mortalidade_infancia,prop_baixo_peso_nascer,mortalidade_materna,taxa_internacoes_infantis_crise_respiratoria_aguda,prop_acesso_agua_canalizada,prop_acesso_esgotamento_sanitario,prop_acesso_banheiro,prop_populacao_vivendo_favelas_nao_urbanizadas,prop_acesso_energia_eletrica,prop_adensamento_habitacional_excessivo,taxa_homicidios,taxa_roubos_rua,prop_alfabetizacao,qualidade_ensino_fundamental_anos_iniciais,qualidade_ensino_fundamental_anos_finais,prop_abandono_escolar_ensino_medio,prop_acesso_telefone_celular_fixo,prop_acesso_internet,taxa_mortalidade_doencas_cronicas,taxa_incidencia_dengue,taxa_mortalidade_tuberculose_hiv,prop_coleta_seletiva_lixo,degradacao_areas_verdes,prop_mobilidade_urbana,taxa_homicidios_acao_policial,tempo_medio_deslocamento,taxa_participacao_politica,prop_gravidez_adolescencia,trabalho_infantil,indice_acesso_cultura,taxa_violencia_contra_mulher,taxa_homicidios_jovens_negros,prop_vulnerabilidade_familiar,prop_pessoas_ensino_superior,prop_negros_indigenas_ensino_superior,prop_frequencia_ensino_superior,area_planejamento
2016,Rocinha,3.51,9.8,140.65,39.61,98.69,84.2,98.26,99.99,91.05,10.96,15.96,0.28,51.07,4.25,4.51,14.66,92.39,40.34,102.22,200.41,29.59,0.0,-0.0,0.0,1.35,30.71,0.25,21.98,21.28,10.0,489.6,8.07,4.29,1.92,2.16,4.64,Zona Sul
2016,Jacarezinho,0.75,11.03,244.5,16.73,98.6,94.63,97.66,88.48,81.81,15.89,16.71,6.85,66.0,4.21,4.18,17.27,89.13,29.11,70.37,86.01,20.85,0.0,-0.02,88.47,3.87,20.86,0.22,29.78,5.2,3.31,327.26,9.02,3.5,1.13,1.44,8.1,Méier
2016,Complexo Do Alemão,5.91,9.42,49.19,4.61,99.69,94.53,99.03,87.46,65.64,8.88,16.9,0.46,70.67,4.17,4.11,19.6,91.67,30.45,74.94,494.9,15.55,0.0,-0.0,15.5,22.62,25.68,0.22,25.92,61.98,5.38,253.11,2.83,4.09,1.64,1.45,3.89,Inhaúna
2016,Maré,2.41,9.6,52.07,7.57,99.86,92.55,95.15,10.14,93.08,11.3,16.98,5.16,59.5,4.45,4.42,13.7,92.11,31.03,86.1,19.87,17.66,0.0,0.0,0.67,2.39,27.79,0.22,24.79,25.56,12.95,267.84,14.37,4.04,1.84,1.22,7.61,Ramos
2016,Vigário Geral,3.34,9.45,18.47,8.27,99.19,90.51,99.47,14.84,92.07,8.79,16.22,7.57,55.67,4.77,4.55,9.1,94.81,41.71,200.0,273.26,32.23,0.0,-0.01,58.92,8.83,27.37,0.21,22.53,31.49,1.86,333.38,7.86,2.75,6.64,4.74,16.18,Penha
2016,Realengo,2.79,8.49,198.97,7.66,99.25,89.37,99.29,11.33,96.0,7.01,24.52,7.71,50.18,5.3,4.92,9.97,95.38,46.22,209.83,436.02,18.0,1.39,-0.04,30.28,2.45,33.45,0.19,30.23,3.68,28.02,410.25,15.54,2.27,10.58,7.93,21.11,Bangu
2016,Cidade De Deus,5.46,11.53,78.8,18.24,99.54,96.06,98.87,11.83,89.76,10.93,18.28,2.42,65.27,4.69,4.93,10.5,92.79,37.28,214.25,172.51,38.95,0.0,-0.02,0.0,1.64,30.0,0.21,22.03,44.64,10.0,382.68,9.42,3.42,3.28,2.37,8.05,Jacarepagua
2018,Rio De Janeiro,2.42,9.17,60.97,10.0,98.47,89.95,98.73,15.7,93.95,5.88,23.53,9.82,48.33,5.72,4.73,14.54,96.25,51.26,229.6,373.64,14.17,2.66,-0.02,51.57,7.65,28.83,0.21,13.49,10.74,30.16,254.95,6.98,2.02,21.26,9.82,28.04,Rio De Janeiro
2018,Portuaria,1.83,8.02,38.45,6.32,99.73,93.97,94.26,4.1,91.12,10.2,43.24,28.18,51.24,5.43,5.07,19.08,93.04,32.35,244.86,713.87,28.25,0.0,0.06,58.0,24.45,42.94,0.24,17.6,3.77,14.89,340.94,9.82,4.54,3.88,2.1,9.81,Centro
2018,Centro,1.93,9.54,168.92,11.7,99.66,92.23,92.34,0.26,96.91,3.77,33.12,69.9,40.51,5.9,4.93,3.03,97.47,50.76,234.8,310.69,30.83,5.72,0.0,86.44,12.84,31.04,0.26,11.34,0.0,92.44,907.39,10.76,1.35,24.02,18.03,39.37,Centro
